ID,center_1,spread_1,center_2,spread_2,action,p,perr,F,F_micro,exp,num,as,ts,creator
298809-1556632746-GA,0.826954979706766,0.018540995552131512,0.47795758365940927,0.42761817355631954,beige,160.0,210.82331758592,4.00184289504166E-4,4.00184289504166E-4,17.0,1.0,214.07072853333335,299614.0,GA
298815-914021991-GA,0.48625624866069433,0.48625624866069433,0.14949729661178093,0.038100201687524045,brown,334.3488,401.52320000000003,8.568527327150844E-4,8.568527327150844E-4,29.0,1.0,168.52418442253654,299791.0,GA
298816-997797956-GA,0.7834724785228613,0.03231583273132338,0.3816520595422843,0.13248444505858267,blue,1000.0,0.0,0.016407688994493227,0.016407688994493227,20.0,1.0,116.8523980128256,299486.0,GA
298820-1780098627-GA,0.8965232311789241,0.08323487906338223,0.5268573156061551,0.03458541875053964,blue,0.0,0.0,0.005710597761666407,0.005710597761666407,8.0,1.0,183.90666666666667,299946.0,GA
298824-515036647-GA,0.32569739415394383,0.11115986612347831,0.7455928156874134,0.09702211807489258,white,200.0,200.0,0.003187807256827332,0.003187807256827332,7.0,1.0,164.85333333333332,299504.0,GA
298830-690131140-GA,0.11810516289099673,0.09102649258388508,0.7123516154539168,0.03677160493861453,white,493.5466666666666,491.84,0.0024063490340744545,0.0024063490340744545,11.0,1.0,112.60352,299645.0,GA
298841-750336533-GA,0.7812227302638317,0.2187772697361683,0.4444938801914581,0.08941884743919304,red,209.92,314.88,0.001955068548655333,0.001955068548655333,32.0,1.0,190.8097321097626,299994.0,GA
298845-669101517-GA,0.04877835326385073,0.027686614585317237,0.5192650907055313,0.1688850993506472,red,1000.0,0.36893488147419107,0.007279470883285299,0.007279470883285299,29.0,1.0,108.98793786119752,299995.0,GA
298851-303299525-GA,0.4331281234060179,0.06685230787974347,0.7215716848364879,0.18868081430061195,red,377.29847296,489.2121156266667,2.029159056478794E-4,2.029159056478794E-4,23.0,1.0,155.26575888384,299811.0,GA
298851-1696037566-GA,0.4331281234060179,0.06685230787974347,0.7447370429215043,0.18500947917865257,red,377.29847296,489.2121156266667,2.029159056478794E-4,2.029159056478794E-4,23.0,1.0,155.26575888384,299811.0,GA
298853-835521769-GA,0.21455068421257756,0.09765615199673518,0.312049084277229,0.01708304787085088,brown,1000.0,0.0,0.011720576564288886,0.011720576564288886,7.0,1.0,76.21600000000001,298853.0,GA
298859-1746839555-GA,0.4054996630858997,0.035431730510298465,0.7105678234643893,0.0837928642284016,black,0.0,240.98133333333334,6.122245394854475E-4,6.122245394854475E-4,6.0,1.0,249.66666666666669,299540.0,GA
298859-514448757-GA,0.39394807585326264,0.046983317742935515,0.7509046451292671,0.12412968589327938,black,834.7965995417601,384.26854516752815,3.365739999882342E-5,3.365739999882342E-5,23.0,1.0,85.41633302173013,299540.0,GA
298869-989192172-GA,0.3126423786796144,0.06447398232481433,0.6014050077083412,0.2893120878187597,brown,143.91915315199998,373.455031631872,2.6539397932839735E-4,2.6539397932839735E-4,27.0,1.0,139.67601253089282,299989.0,GA
298870-1434250339-GA,0.1607637932844343,0.1607637932844343,0.876889403455744,0.12311059654425599,black,0.0,40.157944217600004,2.954494907881037E-4,2.954494907881037E-4,20.0,1.0,203.68824490666665,299834.0,GA
298870-568365778-GA,0.28808271691787035,0.01705444914802909,0.7438592993769386,0.11708434014095087,black,1000.0,320.48,0.0017610161869886687,0.0017610161869886687,3.0,1.0,60.5,299498.0,GA
298871-469376523-GA,0.5617365754974413,0.12047735528027767,0.26344765678309584,0.048673761908198,red,1000.0,0.0,0.013961358655405261,0.013961358655405261,29.0,1.0,81.56572788905584,299608.0,GA
298871-865502696-GA,0.6244794932000792,0.10994889255016732,0.3091526910327609,0.0029687276585329825,red,1000.0,0.0,0.016083909363181062,0.016083909363181062,1.0,1.0,67.0,298871.0,GA
298873-1027820540-GA,0.9339270629038138,0.06607293709618622,0.29070650703077705,0.14673808923254347,brown,1000.0,0.0,0.015519968686264624,0.007759984343132312,66.0,2.0,142.74355820775355,299769.0,GA
298876-241687022-GA,0.8342767263281594,0.025862742173524966,0.47795758365940927,0.42761817355631954,beige,160.0,208.86646176638564,2.3503039300317328E-4,2.3503039300317328E-4,23.0,1.0,205.86178747733334,299614.0,GA
